region_id,short_tip_percent,med_tip_percent,long_tip_percent,max_tip_percent,max_bin,is_statistically_significant,has_rejected_null_hyp,DOLocationID,Borough,Zone,service_zone
242,0.006553023732737403,0.00708171803320359,0.007588211791999563,0.007588211791999563,long,False,False,242,Bronx,Van Nest/Morris Park,Boro Zone
167,0.0025992719897919873,0.004999981843715595,0.0,0.004999981843715595,medium,False,False,167,Bronx,Morrisania/Melrose,Boro Zone
29,0.009034298686104218,0.004081464838050417,0.01463945379996649,0.01463945379996649,long,False,False,29,Brooklyn,Brighton Beach,Boro Zone
254,0.004884593680898341,0.0051676382376104136,0.004163815732246539,0.0051676382376104136,medium,False,False,254,Bronx,Williamsbridge/Olinville,Boro Zone
60,inf,0.005463665369068992,0.011672249672279924,inf,short,False,False,60,Bronx,Crotona Park East,Boro Zone
119,0.014999993236399368,0.031800446541341225,0.013421857971739524,0.031800446541341225,medium,False,False,119,Bronx,Highbridge,Boro Zone
203,0.014925440061383377,0.02411189838637042,0.02184865736539314,0.02411189838637042,medium,False,False,203,Queens,Rosedale,Boro Zone
15,0.03640046865555473,0.01003089461244769,0.005900749395173187,0.03640046865555473,short,False,False,15,Queens,Bay Terrace/Fort Totten,Boro Zone
194,0.17745341911674692,0.17382281653628368,0.1774781840498556,0.1774781840498556,long,False,False,194,Manhattan,Randalls Island,Yellow Zone
117,0.003106316045606229,0.0005638003855877437,0.006827768514955895,0.006827768514955895,long,False,False,117,Queens,Hammels/Arverne,Boro Zone
94,0.00563222170426995,0.006540693723323076,0.014689294878597698,0.014689294878597698,long,False,False,94,Bronx,Fordham South,Boro Zone
51,0.0032799109463058944,0.002378660903135454,0.002558041367665682,0.0032799109463058944,short,False,False,51,Bronx,Co-Op City,Boro Zone
241,0.015731461252765755,0.008901599618721683,0.011825156083158438,0.015731461252765755,short,False,False,241,Bronx,Van Cortlandt Village,Boro Zone
214,0.02862984235140852,0.01843643270018368,0.015241054857179793,0.02862984235140852,short,False,False,214,Staten Island,South Beach/Dongan Hills,Boro Zone
